"Label (Grouping)","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher"
"        Estimate","(X)","3.4%","8.1%","29.5%","26.4%","8.3%","15.2%","9.1%","88.5%","24.3%"
"    Females","","","","","","","","","",""
"        Estimate","76,718","2,112","4,163","22,745","23,510","8,649","11,511","4,028","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.8%","5.4%","29.6%","30.6%","11.3%","15.0%","5.3%","91.8%","20.3%"
"Chittenden County, Vermont","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","106,218","2,329","2,924","21,528","17,087","8,801","30,678","22,871","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.2%","2.8%","20.3%","16.1%","8.3%","28.9%","21.5%","95.1%","50.4%"
"    Males","","","","","","","","","",""
"        Estimate","51,486","1,365","1,852","10,494","8,503","3,713","15,241","10,318","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.7%","3.6%","20.4%","16.5%","7.2%","29.6%","20.0%","93.8%","49.6%"
"    Females","","","","","","","","","",""
"        Estimate","54,732","964","1,072","11,034","8,584","5,088","15,437","12,553","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","1.8%","2.0%","20.2%","15.7%","9.3%","28.2%","22.9%","96.3%","51.1%"
"Albemarle County, Virginia","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","72,178","3,450","4,042","11,103","12,912","2,782","18,962","18,927","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.8%","5.6%","15.4%","17.9%","3.9%","26.3%","26.2%","89.6%","52.5%"
"    Males","","","","","","","","","",""
"        Estimate","33,970","2,105","2,625","4,586","6,093","875","8,932","8,754","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","6.2%","7.7%","13.5%","17.9%","2.6%","26.3%","25.8%","86.1%","52.1%"
"    Females","","","","","","","","","",""
"        Estimate","38,208","1,345","1,417","6,517","6,819","1,907","10,030","10,173","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.5%","3.7%","17.1%","17.8%","5.0%","26.3%","26.6%","92.8%","52.9%"
"Arlington County, Virginia","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","170,778","6,629","3,702","15,646","13,093","4,798","57,888","69,022","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.9%","2.2%","9.2%","7.7%","2.8%","33.9%","40.4%","94.0%","74.3%"
"    Males","","","","","","","","","",""
"        Estimate","84,396","2,753","1,491","8,911","6,640","2,290","27,921","34,390","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.3%","1.8%","10.6%","7.9%","2.7%","33.1%","40.7%","95.0%","73.8%"
"    Females","","","","","","","","","",""
"        Estimate","86,382","3,876","2,211","6,735","6,453","2,508","29,967","34,632","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.5%","2.6%","7.8%","7.5%","2.9%","34.7%","40.1%","93.0%","74.8%"
"Augusta County, Virginia","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","54,196","2,199","6,000","18,869","10,572","3,826","7,827","4,903","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.1%","11.1%","34.8%","19.5%","7.1%","14.4%","9.0%","84.9%","23.5%"
"    Males","","","","","","","","","",""
"        Estimate","27,224","1,035","3,585","10,357","4,788","1,204","3,596","2,659","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.8%","13.2%","38.0%","17.6%","4.4%","13.2%","9.8%","83.0%","23.0%"
"    Females","","","","","","","","","",""
"        Estimate","26,972","1,164","2,415","8,512","5,784","2,622","4,231","2,244","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.3%","9.0%","31.6%","21.4%","9.7%","15.7%","8.3%","86.7%","24.0%"
"Bedford County, Virginia","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","56,184","1,473","3,634","17,232","12,227","4,985","9,692","6,941","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.6%","6.5%","30.7%","21.8%","8.9%","17.3%","12.4%","90.9%","29.6%"
"    Males","","","","","","","","","",""
"        Estimate","27,219","851","1,958","8,633","4,999","2,707","4,073","3,998","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.1%","7.2%","31.7%","18.4%","9.9%","15.0%","14.7%","89.7%","29.7%"
"    Females","","","","","","","","","",""
"        Estimate","28,965","622","1,676","8,599","7,228","2,278","5,619","2,943","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.1%","5.8%","29.7%","25.0%","7.9%","19.4%","10.2%","92.1%","29.6%"
"Chesterfield County, Virginia","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","227,539","6,421","9,175","54,002","45,844","19,904","57,943","34,250","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.8%","4.0%","23.7%","20.1%","8.7%","25.5%","15.1%","93.1%","40.5%"
"    Males","","","","","","","","","",""
"        Estimate","106,581","2,843","5,086","26,976","21,939","6,499","25,964","17,274","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.7%","4.8%","25.3%","20.6%","6.1%","24.4%","16.2%","92.6%","40.6%"
"    Females","","","","","","","","","",""
"        Estimate","120,958","3,578","4,089","27,026","23,905","13,405","31,979","16,976","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.0%","3.4%","22.3%","19.8%","11.1%","26.4%","14.0%","93.7%","40.5%"
"Fairfax County, Virginia","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","772,823","36,038","26,864","93,196","104,354","40,240","240,591","231,540","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.7%","3.5%","12.1%","13.5%","5.2%","31.1%","30.0%","91.9%","61.1%"
"    Males","","","","","","","","","",""
"        Estimate","376,592","16,783","12,710","40,921","50,303","16,487","117,827","121,561","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.5%","3.4%","10.9%","13.4%","4.4%","31.3%","32.3%","92.2%","63.6%"
"    Females","","","","","","","","","",""
"        Estimate","396,231","19,255","14,154","52,275","54,051","23,753","122,764","109,979","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.9%","3.6%","13.2%","13.6%","6.0%","31.0%","27.8%","91.6%","58.7%"
"Fauquier County, Virginia","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","47,595","1,569","2,979","11,744","10,642","4,178","10,543","5,940","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.3%","6.3%","24.7%","22.4%","8.8%","22.2%","12.5%","90.4%","34.6%"
"    Males","","","","","","","","","",""
"        Estimate","23,516","859","1,660","7,663","4,879","1,279","3,963","3,213","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.7%","7.1%","32.6%","20.7%","5.4%","16.9%","13.7%","89.3%","30.5%"
"    Females","","","","","","","","","",""
"        Estimate","24,079","710","1,319","4,081","5,763","2,899","6,580","2,727","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.9%","5.5%","16.9%","23.9%","12.0%","27.3%","11.3%","91.6%","38.7%"
"Frederick County, Virginia","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","57,872","1,717","3,574","19,234","11,018","5,814","9,427","7,088","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.0%","6.2%","33.2%","19.0%","10.0%","16.3%","12.2%","90.9%","28.5%"
"    Males","","","","","","","","","",""
"        Estimate","28,177","1,150","2,290","9,930","4,764","2,243","4,911","2,889","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.1%","8.1%","35.2%","16.9%","8.0%","17.4%","10.3%","87.8%","27.7%"
"    Females","","","","","","","","","",""
"        Estimate","29,695","567","1,284","9,304","6,254","3,571","4,516","4,199","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","1.9%","4.3%","31.3%","21.1%","12.0%","15.2%","14.1%","93.8%","29.3%"
"Hanover County, Virginia","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","71,796","1,479","4,351","17,270","13,927","5,557","18,915","10,297","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.1%","6.1%","24.1%","19.4%","7.7%","26.3%","14.3%","91.9%","40.7%"
"    Males","","","","","","","","","",""
"        Estimate","34,579","882","2,392","8,753","7,344","2,392","8,266","4,550","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.6%","6.9%","25.3%","21.2%","6.9%","23.9%","13.2%","90.5%","37.1%"
"    Females","","","","","","","","","",""
"        Estimate","37,217","597","1,959","8,517","6,583","3,165","10,649","5,747","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","1.6%","5.3%","22.9%","17.7%","8.5%","28.6%","15.4%","93.1%","44.1%"
"Henrico County, Virginia","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","225,821","5,603","12,625","49,896","45,883","17,064","59,786","34,964","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.5%","5.6%","22.1%","20.3%","7.6%","26.5%","15.5%","91.9%","42.0%"
"    Males","","","","","","","","","",""
"        Estimate","102,897","2,837","6,265","22,587","18,790","7,063","28,340","17,015","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.8%","6.1%","22.0%","18.3%","6.9%","27.5%","16.5%","91.2%","44.1%"
"    Females","","","","","","","","","",""
"        Estimate","122,924","2,766","6,360","27,309","27,093","10,001","31,446","17,949","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.3%","5.2%","22.2%","22.0%","8.1%","25.6%","14.6%","92.6%","40.2%"
"James City County, Virginia","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","53,623","576","1,882","9,119","10,701","4,324","15,306","11,715","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","1.1%","3.5%","17.0%","20.0%","8.1%","28.5%","21.8%","95.4%","50.4%"
"    Males","","","","","","","","","",""
"        Estimate","24,641","304","796","3,680","5,719","1,740","6,682","5,720","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","1.2%","3.2%","14.9%","23.2%","7.1%","27.1%","23.2%","95.5%","50.3%"
"    Females","","","","","","","","","",""
"        Estimate","28,982","272","1,086","5,439","4,982","2,584","8,624","5,995","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","0.9%","3.7%","18.8%","17.2%","8.9%","29.8%","20.7%","95.3%","50.4%"
"Loudoun County, Virginia","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","246,461","9,500","7,622","31,121","36,361","14,838","84,999","62,020","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.9%","3.1%","12.6%","14.8%","6.0%","34.5%","25.2%","93.1%","59.7%"
"    Males","","","","","","","","","",""
"        Estimate","120,395","4,780","3,094","15,655","16,218","5,992","41,531","33,125","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.0%","2.6%","13.0%","13.5%","5.0%","34.5%","27.5%","93.5%","62.0%"
"    Females","","","","","","","","","",""
"        Estimate","126,066","4,720","4,528","15,466","20,143","8,846","43,468","28,895","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.7%","3.6%","12.3%","16.0%","7.0%","34.5%","22.9%","92.7%","57.4%"
"Montgomery County, Virginia","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","54,973","1,217","2,093","12,037","8,757","3,258","13,337","14,274","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.2%","3.8%","21.9%","15.9%","5.9%","24.3%","26.0%","94.0%","50.2%"
"    Males","","","","","","","","","",""
"        Estimate","26,486","365","916","6,044","3,871","1,234","6,613","7,443","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","1.4%","3.5%","22.8%","14.6%","4.7%","25.0%","28.1%","95.2%","53.1%"
"    Females","","","","","","","","","",""
"        Estimate","28,487","852","1,177","5,993","4,886","2,024","6,724","6,831","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.0%","4.1%","21.0%","17.2%","7.1%","23.6%","24.0%","92.9%","47.6%"
"Prince William County, Virginia","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","289,294","18,585","16,532","61,094","53,870","22,002","70,924","46,287","(X)","(X)"
